         TOF        Yobs        Ycal     YcalBad
     8553.87    18502.00    18676.00    18620.00
     8558.15    18433.00    18663.00    18620.00
     8562.44    18575.00    18660.00    18630.00
     8566.71    18706.00    18651.00    18640.00
     8570.99    18611.00    18643.00    18670.00
     8575.27    18381.00    18637.00    18730.00
     8579.56    18530.00    18631.00    19020.00
     8583.85    17898.00    18627.00    19310.00
     8588.15    18639.00    18600.00    19840.00
     8592.46    18128.00    18600.00    20750.00
     8596.74    19775.00    18600.00    22140.00
     8601.03    19515.00    18600.00    24030.00
     8605.33    19685.00    18601.00    26300.00
     8609.64    19698.00    18602.00    28610.00
     8613.94    18818.00    18605.00    30550.00
     8618.26    18038.00    18611.00    31750.00
     8622.56    19290.00    18621.00    32050.00
     8626.86    19243.00    18643.00    31550.00
     8631.18    17854.00    18691.00    30500.00
     8635.50    18139.00    18961.00    29240.00
     8639.82    18689.00    19186.00    28060.00
     8644.14    19166.00    19613.00    27260.00
     8648.46    20377.00    20368.00    27230.00
     8652.77    22365.00    21587.00    28660.00
     8657.11    22588.00    23360.00    32830.00
     8661.44    24837.00    25628.00    41770.00
     8665.78    28152.00    28146.00    58280.00
     8670.11    29282.00    30504.00    85160.00
     8674.44    31516.00    32260.00   123790.00
     8678.78    31177.00    33117.00   172280.00
     8683.11    32711.00    33032.00   224580.00
     8687.46    31274.00    32197.00   271660.00
     8691.81    31063.00    30941.00   304120.00
     8696.16    29482.00    29619.00   316540.00
     8700.51    28583.00    28570.00   309140.00
     8704.85    28317.00    28188.00   286750.00
     8709.20    29129.00    29094.00   256050.00
     8713.55    32904.00    32375.00   223040.00
     8717.90    38338.00    39808.00   191640.00
     8722.27    52848.00    53913.00   163640.00
     8726.63    78245.00    77293.00   139660.00
     8731.00   114377.00   111464.00   119480.00
     8735.36   158772.00   155209.00   102610.00
     8739.72   211339.00   203544.00    88550.00
     8744.10   253563.00   248499.00    76810.00
     8748.47   271506.00   281139.00    67080.00
     8752.83   283836.00   295935.00    58980.00
     8757.21   281774.00   292117.00    52220.00
     8761.59   271718.00   273408.00    46600.00
     8765.97   241231.00   245819.00    41920.00
     8770.35   215135.00   215108.00    38020.00
     8774.75   187502.00   185218.00    34770.00
     8779.14   155675.00   158365.00    32060.00
     8783.52   132480.00   135305.00    29820.00
     8787.92   111316.00   115789.00    27940.00
     8792.31    93878.00    99471.00    26380.00
     8796.71    82988.00    85875.00    25080.00
     8801.10    69545.00    74567.00    24000.00
     8805.49    60915.00    65163.00    23090.00
     8809.91    55747.00    57318.00    22340.00
     8814.32    49123.00    50809.00    21720.00
     8818.73    43557.00    45394.00    21210.00
     8823.14    40657.00    40893.00    20800.00
     8827.55    37170.00    37151.00    20480.00
     8831.96    36190.00    34040.00    20270.00
     8836.37    33797.00    31451.00    20210.00
     8840.79    29926.00    29291.00    20380.00
     8845.22    28061.00    27496.00    20860.00
     8849.63    26772.00    26008.00    21780.00
     8854.05    25953.00    24767.00    23190.00
     8858.48    24638.00    23736.00    25010.00
     8862.90    23485.00    22879.00    27020.00
     8867.35    23205.00    22153.00    28850.00
     8871.79    21910.00    21564.00    30110.00
     8876.23    21918.00    21079.00    30590.00
     8880.65    22334.00    20687.00    30010.00
     8885.08    21174.00    20383.00    29140.00
     8889.54    21387.00    20176.00    27910.00
     8893.99    21126.00    20103.00    26580.00
     8898.43    21398.00    20233.00    25320.00
     8902.87    22128.00    20671.00    24200.00
     8907.33    22311.00    21548.00    23240.00
     8911.79    23729.00    22965.00    22440.00
     8916.24    25805.00    24913.00    21770.00
     8920.70    27209.00    27211.00    21210.00
     8925.15    30098.00    29496.00    20750.00
     8929.62    31269.00    31330.00    20360.00
     8934.10    30496.00    32346.00    20040.00
     8938.55    29942.00    32159.00    19780.00
     8943.01    30082.00    31446.00    19560.00
     8947.48    29974.00    30180.00    19380.00
     8951.97    28448.00    28663.00    19230.00
     8956.45    27187.00    27137.00    19100.00
     8960.93    24111.00    25745.00    19000.00
     8965.40    23786.00    24535.00    18910.00
     8969.88    23281.00    23508.00    18840.00
     8974.37    23210.00    22651.00    18780.00
     8978.86    22169.00    21938.00    18730.00
     8983.34    21497.00    21348.00    18690.00
     8987.83    20985.00    20858.00    18650.00
     8992.33    19263.00    20451.00    18620.00
     8996.83    20799.00    20114.00    18600.00
     9001.34    19915.00    19834.00    18580.00
     9005.84    19354.00    19603.00    18560.00
     9010.34    19750.00    19411.00    18550.00
     9014.84    18948.00    19252.00    18540.00
     9019.35    18960.00    19121.00    18530.00
     9023.85    18828.00    19011.00    18520.00
     9028.37    19294.00    18921.00    18510.00
     9032.88    18361.00    18845.00    18510.00
     9037.40    18210.00    18783.00    18500.00
     9041.92    18792.00    18731.00    18500.00
     9046.43    18176.00    18688.00    18490.00
     9050.97    18721.00    18652.00    18490.00
     9055.49    17793.00    18623.00    18490.00
     9060.00    18458.00    18598.00    18490.00
     9064.54    18551.00    18578.00    18480.00
     9069.07    18802.00    18560.00    18480.00
     9073.60    20088.00    18546.00    18470.00
     9078.13    19185.00    18534.00    18470.00
     9082.68    18664.00    18524.00    18470.00
     9087.23    18141.00    18516.00    18470.00
